participant_id,work_stress,resilience,job_satisfaction,gender
68,2.35,4.82,3.33,1
69,2.5,4.18,5.0,0
70,2.7,3.36,4.13,1
71,2.38,3.24,4.26,1
72,4.25,3.82,3.88,0
73,3.19,3.9,4.47,1
74,4.56,4.46,4.41,1
75,2.53,2.27,4.08,0
76,2.73,4.21,4.5,1
77,5.0,3.74,3.16,1
78,2.03,3.43,3.94,1
79,2.61,2.74,3.27,0
80,2.42,3.22,4.24,1
81,3.01,3.53,4.03,0
82,3.44,4.11,4.18,1
83,4.0,4.21,3.88,0
84,4.09,2.89,3.87,1
85,2.82,4.39,4.13,1
86,3.34,3.17,3.19,0
87,2.07,3.9,4.03,0
88,3.63,2.01,2.7,0
89,1.93,3.31,4.76,0
90,4.44,2.84,3.83,1
91,1.56,3.21,4.55,1
92,3.79,3.42,3.83,1
93,3.36,3.87,4.28,0
94,2.4,3.36,4.18,1
95,4.92,2.59,2.53,0
96,2.79,3.16,3.93,1
97,4.98,2.3,1.87,0
98,3.06,2.39,3.55,1
99,3.4,4.96,4.77,1
100,1.43,3.34,5.0,0
101,2.64,4.15,4.44,1
102,3.35,3.94,3.79,0
103,2.51,4.15,4.64,1
104,2.58,2.18,2.93,0
105,2.22,4.02,4.2,0
106,3.02,4.69,4.76,0
107,2.61,4.52,4.99,0
108,5.0,3.65,3.27,0
109,2.51,4.3,3.85,1
110,3.22,3.01,3.84,1
111,3.59,4.64,3.7,0
112,3.1,3.01,3.18,0
113,3.53,2.26,3.8,0
114,2.17,3.43,4.64,0
115,2.45,2.76,4.09,1
116,2.22,3.94,4.55,0
117,1.76,3.61,3.97,1
118,3.79,3.25,3.33,1
119,3.11,3.64,4.39,0
120,1.0,2.92,4.44,0
121,2.92,4.98,4.54,1
122,4.11,3.52,2.83,1
123,2.88,4.34,4.57,0
124,3.43,3.84,4.21,1
125,3.45,2.29,3.65,0
126,3.31,3.8,4.75,1
127,2.34,3.49,4.42,1
128,2.57,3.98,4.89,0
129,2.75,3.06,4.1,0
130,3.91,3.34,4.04,1
131,2.89,3.65,4.72,0
132,1.63,3.79,4.53,0
133,3.72,3.35,3.52,0
134,2.74,3.84,4.16,1
135,2.8,3.4,5.0,1
136,2.75,2.39,3.97,1
137,4.04,4.2,4.14,0
138,2.87,4.82,4.75,1
139,2.86,3.94,3.48,0
140,3.74,3.1,3.63,0
141,3.01,3.59,3.59,0
142,2.05,4.16,4.61,0
143,1.01,3.87,4.56,1
144,3.22,3.87,4.12,1
145,4.35,4.22,3.09,0
146,1.52,4.58,4.07,1
147,1.67,2.44,4.08,0
148,2.25,3.18,4.48,0
149,3.34,3.47,3.7,1
150,3.16,4.83,4.2,0
151,1.84,4.76,4.66,0
152,2.79,4.55,4.16,0
153,3.99,3.16,3.99,0
154,2.29,3.91,4.21,1
155,3.94,3.27,3.78,1
156,2.3,3.63,4.53,1
157,2.66,2.76,4.07,1
158,3.62,4.73,3.33,0
159,3.14,3.39,4.46,0
160,1.55,2.71,4.72,0
161,3.96,4.23,3.7,1
162,3.51,4.44,4.68,1
163,4.28,2.45,2.5,0
164,2.2,4.61,4.6,0
165,4.23,3.26,2.9,0
166,3.23,2.46,3.9,0
167,4.99,3.86,3.02,1
168,2.32,2.73,5.0,0
169,2.58,4.31,4.3,1
170,3.01,3.43,3.9,1
171,2.31,3.64,4.82,0
172,3.8,2.82,2.62,0
173,3.57,2.91,4.01,0
174,1.46,4.36,4.23,1
175,2.82,4.38,4.13,0
176,3.66,3.03,2.84,0
177,3.46,4.38,3.78,0
178,2.41,3.75,4.4,0
179,3.29,3.36,4.45,1
180,3.22,3.73,3.94,0
